year,population
1950,158804397
1951,160872264
1952,163266026
1953,165909996
1954,168736390
1955,171685337
1956,174705006
1957,177751477
1958,180788387
1959,183786249
1960,186720570
1961,189569850
1962,192313747
1963,194932400
1964,197408497
1965,199733679
1966,201895760
1967,203905081
1968,205805756
1969,207659274
1970,209513340
1971,211384079
1972,213269805
1973,215178797
1974,217114898
1975,219081250
1976,221086427
1977,223135659
1978,225223307
1979,227339321
1980,229476360
1981,231636065
1982,233821851
1983,236030236
1984,238256849
1985,240499822
1986,242763137
1987,245052780
1988,247372258
1989,249725809
1990,252120309
1991,254539371
1992,256990608
1993,259532130
1994,262241204
1995,265163741
1996,268335008
1997,271713634
1998,275175309
1999,278548148
2000,281710914
2001,284607992
2002,287279312
2003,289815567
2004,292354663
2005,294993509
2006,297758977
2007,300608425
2008,303486022
2009,306307565
2010,309011469
2011,311584051
2012,314043885
2013,316400539
2014,318673422
2015,320878312
2016,323015992
2017,325084758
2018,327096263
2019,329064917
2020,331002647
